nb_series;cruncher_v2;cruncher_v3;RJDemetra;rjd3x13
59;4.41300000000047;3.43900000000031;8.83499999999913;3.39599999999882
89;5.54299999999967;4.61399999999958;14.994999999999;5.27100000000064
66;4.27299999999923;3.84999999999854;9.93500000000131;3.97099999999955
16;3.44599999999991;2.42100000000028;2.38100000000122;0.65099999999984
63;4.48400000000038;4.49499999999898;10.1039999999994;3.28499999999985
16;3.44200000000092;2.85900000000038;2.76499999999942;1.00400000000081
51;4.34999999999854;4.47200000000157;8.84200000000055;2.43199999999888
56;6.14899999999943;3.80000000000109;10.7489999999998;3.56899999999951
43;4.06700000000092;3.58400000000074;7.5679999999993;2.15400000000045
38;4.14600000000064;3.5619999999999;8.19399999999951;2.13700000000063
222;7.96299999999974;6.59900000000016;47.8239999999996;12.7700000000004
879;19.5940000000001;13.1889999999999;192.601;51.8589999999999
967;23.2779999999998;14.3209999999999;204.234;55.241
761;18.1180000000004;11.9639999999999;167.479;45.4350000000004
458;13.1410000000001;9.2180000000003;100.271;28.9680000000003
26;3.21300000000019;2.7199999999998;4.95499999999993;1.48399999999992
257;8.52800000000025;8.03300000000036;53.2349999999997;15.2239999999997
384;11.3440000000001;8.50900000000001;81.152;21.6900000000001
654;16.3400000000001;10.9609999999998;140.094;38.2439999999997
696;16.9459999999999;12.2460000000001;156.254;43.1480000000001
607;15.4179999999997;10.3739999999998;126.776;34.9939999999997
665;16.0050000000001;11.3789999999999;148.941;42.4360000000006
440;12.1229999999996;8.64999999999964;93.5420000000004;26.1239999999998
903;20;13.5190000000002;189.444;53.8110000000006
43;3.39499999999953;3.04500000000007;8.4989999999998;2.46199999999953
718;19.0020000000004;11.0990000000002;152.681;42.567
938;21.7089999999998;13.8919999999998;199.102;53.8050000000003
697;17.3249999999998;11.4710000000005;145.181;42.1939999999995
603;16.0729999999994;10.3909999999996;126.320000000001;35.0560000000005
145;6.17900000000009;5.65999999999985;30.1389999999992;7.84300000000076
505;13.6439999999993;9.77599999999984;104.849999999999;30.2000000000007
669;16.7359999999999;11.0479999999998;164.447999999999;38.1180000000004
513;20.0999999999995;14.3689999999997;217.617;42.2020000000002
433;22.1959999999999;18.4040000000005;255.529;47.8199999999997
544;30.9350000000004;24.4129999999996;327.674;63.6259999999993
576;28.5769999999993;23.8690000000006;343.266;64.1700000000001
688;33.6489999999994;25.2960000000003;393.727000000001;81.5069999999996
528;30.0380000000005;22.2279999999992;319.957;60.0570000000007
987;42.9220000000005;31.5109999999986;623.612999999999;111.806999999999
491;31.473;21.8790000000008;272.619000000001;54.5599999999995
851;37.777;27.8200000000015;431.946;96.3690000000006
606;30.4030000000002;22.7420000000002;331.677;67.9459999999999
455;26.2950000000001;20.3079999999991;254.27;52.7030000000013
806;38.7509999999984;28.5439999999999;442.206999999999;90.4989999999998
894;42.6619999999984;29.6350000000002;542.055;105.787
248;21.9170000000013;21.003999999999;156.864;34.1779999999999
136;16.6269999999986;12.9680000000008;83.2049999999999;18.2129999999997
955;38.9510000000009;29.1790000000001;503.125;108.474
163;13.9740000000002;11.7780000000002;84.5900000000001;18.0709999999999
409;24.5749999999989;25.4650000000001;213.408000000001;43.4899999999998
775;36.7150000000001;28.4439999999995;410.014000000001;88.8739999999998
138;14.1860000000015;11.4419999999991;69.6169999999984;15.8109999999979
193;14.6650000000009;11.2389999999978;105.600999999999;21.3549999999996
955;41.2070000000022;30.1560000000027;513.484;111.133999999998
640;30.6729999999989;21.2879999999968;333.795999999998;77.0139999999992
133;11.8640000000014;11.4930000000022;71.3460000000014;15.7980000000025
129;12.6150000000016;16.1810000000005;60.6610000000001;13.75
406;22.8350000000028;19.2340000000004;201.779000000002;48.4470000000001
322;22.2639999999992;21.2109999999993;159.977999999999;37.4249999999993
918;37.3619999999974;29.3140000000021;488.281999999999;103.250999999997
793;41.9900000000016;32.5529999999999;386.400999999998;93.8719999999994
796;38.8979999999974;31.7419999999984;401.258000000002;96.497000000003
152;20.5669999999991;17.6340000000018;75.6510000000017;15.9429999999993
331;30.2200000000012;30.1530000000021;159.959999999999;37.8400000000001
936;43.9149999999972;38.4220000000023;453.681;105.913
454;29.4750000000022;26.6529999999984;206.861000000001;48.9369999999981
6;6.38400000000183;6.31199999999808;2.5669999999991;0.826000000000931
622;38.3839999999982;30.6970000000001;297.246999999999;67.5220000000008
101;16.5939999999973;16.2309999999998;47.012999999999;11.4830000000002
494;30.1779999999999;25.1080000000002;249.567999999999;53.0319999999992
961;44.9830000000002;32.617000000002;513.030999999999;110.271999999997
908;41.905999999999;34.0519999999997;477.800999999999;102.845000000001
853;47.1090000000004;33.4010000000017;456.807999999997;100.326999999997
685;34.4300000000003;28.1529999999984;328.085999999999;77.494999999999
759;32.7069999999985;26.4699999999975;299.708999999999;79.5370000000003
668;35.3539999999994;22.5220000000008;267.907999999999;66.1909999999989
368;19.2620000000024;17.7690000000002;127.240999999998;34.5130000000026
49;6.6260000000002;6.28999999999724;14.5600000000013;3.69099999999889
623;24.8040000000001;17.1319999999978;158.622000000003;54.1059999999998
901;23.4069999999992;15.4719999999979;216.496999999999;59.8339999999989
84;5.84599999999773;4.58799999999974;18.5239999999976;5.18000000000029
394;13.3400000000001;10.6100000000006;95.7540000000008;26.8230000000003
525;16.8559999999998;10.8379999999997;121.450000000001;34.494999999999
793;21.3199999999997;14.6670000000013;188.175999999999;53.5030000000006
224;9.59400000000096;7.22999999999956;54.3970000000008;15.4950000000026
854;23.1489999999976;15.8449999999975;200.353999999999;57.273000000001
330;12.0829999999987;9.47399999999834;83.8590000000004;23.8859999999986
109;6.875;5.3289999999979;25.6129999999976;6.98999999999796
133;6.95000000000073;6.3859999999986;31.4500000000007;9.47099999999773
624;19.4310000000005;13.7720000000008;158.205999999998;43.2770000000019
957;25.6340000000018;17.3530000000028;242.288999999997;68.2010000000009
676;19.3160000000025;13.0950000000012;171.923000000003;47.8260000000009
226;9.5;6.98399999999674;56.0060000000012;15.0950000000012
585;18.5619999999981;12.280999999999;143.439999999999;40.7830000000031
777;20.351999999999;14.0140000000029;180.963;52.3309999999983
288;10.8549999999996;8.51300000000265;68.3250000000007;18.7469999999994
971;24.2669999999998;16.8119999999981;231.639999999999;62.2960000000021
318;10.9849999999969;8.32500000000073;71.9559999999983;20.1460000000006
298;10.9390000000021;8.54099999999744;66.6239999999998;19.9889999999978
659;19.5459999999985;12.648000000001;134.242999999999;41.1530000000021
785;17.3590000000004;12.137999999999;156.819;44.5149999999994
807;17.982;12.6690000000017;164.359;45.1740000000027
294;9.85499999999956;7.48600000000079;60.3450000000012;16.3160000000025
364;11.2330000000002;7.5789999999979;73.5650000000023;20.0330000000031
394;10.9069999999992;8.68099999999686;77.6579999999958;21.525999999998
866;19.0740000000005;13.976999999999;175.820999999996;49.6280000000042
83;4.92500000000291;3.77400000000489;16.2379999999976;4.3640000000014
815;18.3190000000031;12.1800000000003;164.327999999994;44.4329999999973
530;13.2860000000001;9.89100000000326;106.112000000001;29.3849999999948
242;8.66700000000128;6.64099999999598;48.7299999999959;13.833000000006
437;11.9530000000013;8.9690000000046;88.0350000000035;24.0729999999967
892;19.7819999999992;14.1860000000015;178.724999999999;49.4270000000033
149;6.08700000000681;4.9320000000007;30.5639999999985;8.21099999999569
962;20.775999999998;14.413999999997;194.744999999995;51.2899999999936
647;16.7880000000005;11.1010000000024;132.061000000002;37.086000000003
367;10.3020000000033;7.5;76.5010000000038;20.6929999999993
356;10.3940000000002;8.09199999999691;71.7690000000002;19.086000000003
448;12.7609999999986;9.38000000000466;90.4670000000042;25.5070000000051
196;8.39100000000326;6.38900000000285;39.0540000000037;11.8000000000029
624;15.5529999999999;10.823000000004;126.343000000001;34.913999999997
898;19.8960000000006;13.9859999999971;182.900000000001;49.5720000000001
542;13.7900000000009;9.5789999999979;111.814999999995;30.3020000000033
